// For documentation see - Map_Content_Documentation.txt
//=====================================================================================



1 0	mcl_core:stone
144 1	mcl_heads:steve
144 2	mcl_heads:steve 2
144 3	mcl_heads:steve 0
144 4	mcl_heads:steve 1
144 5	mcl_heads:steve 3

145 0	mcl_anvils:anvil 1
145 1	mcl_anvils:anvil 2
145 2	mcl_anvils:anvil 3
145 3	mcl_anvils:anvil 0
145 4	mcl_anvils:anvil_damage_1 1
145 5	mcl_anvils:anvil_damage_1 2
145 6	mcl_anvils:anvil_damage_1 3
145 7	mcl_anvils:anvil_damage_1 0
145 8	mcl_anvils:anvil_damage_2 1
145 9	mcl_anvils:anvil_damage_2 2
145 10	mcl_anvils:anvil_damage_2 3
145 11	mcl_anvils:anvil_damage_2 0

146 2	mcl_chests:trapped_chest 2				// Trapped chest
146 3	mcl_chests:trapped_chest 0
146 4	mcl_chests:trapped_chest 1
146 5	mcl_chests:trapped_chest 3

//147 0	 weighted pressure plate (light)
//148 0  weighted pressure plate (heavy)

149 0	mcl_comparators:comparator_off_comp 0
149 1	mcl_comparators:comparator_off_comp 1
149 2	mcl_comparators:comparator_off_comp 2
149 3	mcl_comparators:comparator_off_comp 3
149 4	mcl_comparators:comparator_off_sub 0
149 5	mcl_comparators:comparator_off_sub 1
149 6	mcl_comparators:comparator_off_sub 2
149 7	mcl_comparators:comparator_off_sub 3
149 8	mcl_comparators:comparator_on_comp 0
149 9	mcl_comparators:comparator_on_comp 1
149 10	mcl_comparators:comparator_on_comp 2
149 11	mcl_comparators:comparator_on_comp 3
149 12	mcl_comparators:comparator_on_sub 0
149 13	mcl_comparators:comparator_on_sub 1
149 14	mcl_comparators:comparator_on_sub 2
149 15	mcl_comparators:comparator_on_sub 3

151 0	mesecons_solarpanel:solar_panel_off 1
151 1	mesecons_solarpanel:solar_panel_on 1
151 2	mesecons_solarpanel:solar_panel_on 1
151 3	mesecons_solarpanel:solar_panel_on 1
151 4	mesecons_solarpanel:solar_panel_on 1
151 5	mesecons_solarpanel:solar_panel_on 1
151 6	mesecons_solarpanel:solar_panel_on 1
151 7	mesecons_solarpanel:solar_panel_on 1
151 8	mesecons_solarpanel:solar_panel_on 1
151 9	mesecons_solarpanel:solar_panel_on 1
151 10	mesecons_solarpanel:solar_panel_on 1
151 11	mesecons_solarpanel:solar_panel_on 1
151 12	mesecons_solarpanel:solar_panel_on 1
151 13	mesecons_solarpanel:solar_panel_on 1
151 14	mesecons_solarpanel:solar_panel_on 1
151 15	mesecons_solarpanel:solar_panel_on 1

152	mesecons_torch:redstoneblock

154 0	mcl_hoppers:hopper 0
154 1	mcl_hoppers:hopper 2
154 2	mcl_hoppers:hopper 3
154 3	mcl_hoppers:hopper 4
154 4	mcl_hoppers:hopper 5
154 8	mcl_hoppers:hopper 0


153	mcl_nether:quartz_ore
155 0	mcl_nether:quartz_block
155 1	mcl_nether:quartz_chiseled
155 2	mcl_nether:quartz_pillar
155 3	mcl_nether:quartz_pillar 4				// TODO: check that
155 4	mcl_nether:quartz_pillar 8				// TODO: check that

156 0	mcl_stairs:stair_quartzblock 1
156 1	mcl_stairs:stair_quartzblock 3
156 2	mcl_stairs:stair_quartzblock 2
156 3	mcl_stairs:stair_quartzblock 0
156 4	mcl_stairs:stair_quartzblock 23
156 5	mcl_stairs:stair_quartzblock 21
156 6	mcl_stairs:stair_quartzblock 22
156 7	mcl_stairs:stair_quartzblock 20


157 0	mcl_minecarts:activator_rail
157 1	mcl_minecarts:activator_rail
157 2	mcl_minecarts:activator_rail
157 3	mcl_minecarts:activator_rail
157 4	mcl_minecarts:activator_rail
157 5	mcl_minecarts:activator_rail
157 8	mcl_minecarts:activator_rail_on
157 9	mcl_minecarts:activator_rail_on
157 10	mcl_minecarts:activator_rail_on
157 11	mcl_minecarts:activator_rail_on
157 12	mcl_minecarts:activator_rail_on
157 13	mcl_minecarts:activator_rail_on


158 0	mcl_droppers:dropper_down
158 1	mcl_droppers:dropper_up
158 2	mcl_droppers:dropper 2
158 3	mcl_droppers:dropper 0
158 4	mcl_droppers:dropper 1
158 5	mcl_droppers:dropper 3
158 8	mcl_droppers:dropper_down
158 9	mcl_droppers:dropper_up
158 10	mcl_droppers:dropper 2
158 11	mcl_droppers:dropper 0
158 12	mcl_droppers:dropper 1
158 13	mcl_droppers:dropper 3

159 0	mcl_colorblocks:hardened_clay_white
159 1	mcl_colorblocks:hardened_clay_orange
159 2	mcl_colorblocks:hardened_clay_magenta
159 3	mcl_colorblocks:hardened_clay_light_blue
159 4	mcl_colorblocks:hardened_clay_yellow
159 5	mcl_colorblocks:hardened_clay_lime
159 6	mcl_colorblocks:hardened_clay_pink
159 7	mcl_colorblocks:hardened_clay_grey
159 8	mcl_colorblocks:hardened_clay_silver
159 9	mcl_colorblocks:hardened_clay_cyan
159 10	mcl_colorblocks:hardened_clay_purple
159 11	mcl_colorblocks:hardened_clay_blue
159 12	mcl_colorblocks:hardened_clay_brown
159 13	mcl_colorblocks:hardened_clay_green
159 14	mcl_colorblocks:hardened_clay_red
159 15	mcl_colorblocks:hardened_clay_black

160 0	xpanes:pane_white_flat
160 1	xpanes:pane_orange_flat
160 2	xpanes:pane_magenta_flat
160 3	xpanes:pane_light_blue_flat
160 4	xpanes:pane_yellow_flat
160 5	xpanes:pane_lime_flat
160 6	xpanes:pane_pink_flat
160 7	xpanes:pane_gray_flat
160 8	xpanes:pane_silver_flat
160 9	xpanes:pane_cyan_flat
160 10	xpanes:pane_purple_flat
160 11	xpanes:pane_blue_flat
160 12	xpanes:pane_brown_flat
160 13	xpanes:pane_green_flat
160 14	xpanes:pane_red_flat
160 15	xpanes:pane_black_flat

	
161 0	mcl_core:acacialeaves
161 1	mcl_core:darkleaves
162	0	mcl_core:acaciatree
162 1	mcl_core:darktree

163 0	mcl_stairs:stair_acaciawood 1
163 1	mcl_stairs:stair_acaciawood 3
163 2	mcl_stairs:stair_acaciawood 2
163 3	mcl_stairs:stair_acaciawood 0
163 4	mcl_stairs:stair_acaciawood 23
163 5	mcl_stairs:stair_acaciawood 21
163 6	mcl_stairs:stair_acaciawood 22
163 7	mcl_stairs:stair_acaciawood 20

164 0	mcl_stairs:stair_darkwood 1
164 1	mcl_stairs:stair_darkwood 3
164 2	mcl_stairs:stair_darkwood 2
164 3	mcl_stairs:stair_darkwood 0
164 4	mcl_stairs:stair_darkwood 23
164 5	mcl_stairs:stair_darkwood 21
164 6	mcl_stairs:stair_darkwood 22
164 7	mcl_stairs:stair_darkwood 20



165 0	mcl_core:slimeblock
166 0	mcl_core:barrier

167 0	mcl_doors:iron_trapdoor 2
167 1	mcl_doors:iron_trapdoor 0
167 2	mcl_doors:iron_trapdoor 1
167 3	mcl_doors:iron_trapdoor 3
167 4	mcl_doors:iron_trapdoor_open 2
167 5	mcl_doors:iron_trapdoor_open 0
167 6	mcl_doors:iron_trapdoor_open 1
167 7	mcl_doors:iron_trapdoor_open 3
167 8	mcl_doors:iron_trapdoor 22
167 9	mcl_doors:iron_trapdoor 20
167 10	mcl_doors:iron_trapdoor 23
167 11	mcl_doors:iron_trapdoor 21
167 12	mcl_doors:iron_trapdoor_open 22
167 13	mcl_doors:iron_trapdoor_open 20
167 14	mcl_doors:iron_trapdoor_open 23
167 15	mcl_doors:iron_trapdoor_open 21

168 0	mcl_ocean:prismarine
168 1	mcl_ocean:prismarine_brick
168 2	mcl_ocean:prismarine_dark
169 0	mcl_ocean:sea_lantern

//HayBlock orientation fix using blockstate data.
170 0	mcl_farming:hay_block
170 4	mcl_farming:hay_block 12
170 8	mcl_farming:hay_block 6

171 0	mcl_wool:white_carpet
171 1	mcl_wool:orange_carpet
171 2	mcl_wool:magenta_carpet
171 3	mcl_wool:blue_carpet
171 4	mcl_wool:yellow_carpet
171 5	mcl_wool:lime_carpet
171 6	mcl_wool:pink_carpet
171 7	mcl_wool:grey_carpet
171 8	mcl_wool:silver_carpet
171 9	mcl_wool:cyan_carpet
171 10	mcl_wool:purple_carpet
171 11	mcl_wool:blue_carpet
171 12	mcl_wool:brown_carpet
171 13	mcl_wool:green_carpet
171 14	mcl_wool:red_carpet
171 15	mcl_wool:black_carpet


172 0	mcl_colorblocks:hardened_clay
173	mcl_core:coalblock
174	mcl_core:packed_ice

175 0	mcl_flowers:sunflower
175 1	mcl_flowers:lilac
175 2	mcl_flowers:double_grass
175 3	mcl_flowers:double_fern
175 4	mcl_flowers:rose_bush
175 5	mcl_flowers:peony
//Bug in minecraft maps all top halves to "175 10"; fixed in MCL2 with an LBM.
//175 8	mcl_flowers:sunflower_top
//175 9	mcl_flowers:lilac_top
//175 10	mcl_flowers:double_grass_top
//175 11	mcl_flowers:double_fern_top
//175 12	mcl_flowers:rose_bush_top
//175 13	mcl_flowers:peony_top


//todo:properly map banners.
176 mcl_banners:standing_banner
177 2	mcl_banners:hanging_banner 5
177 3	mcl_banners:hanging_banner 4
177 4	mcl_banners:hanging_banner 2
177 5	mcl_banners:hanging_banner 3


178 0	mesecons_solarpanel:solar_panel_inverted_off 1
178 1	mesecons_solarpanel:solar_panel_inverted_on 1
178 2	mesecons_solarpanel:solar_panel_inverted_on 1
178 3	mesecons_solarpanel:solar_panel_inverted_on 1
178 4	mesecons_solarpanel:solar_panel_inverted_on 1
178 5	mesecons_solarpanel:solar_panel_inverted_on 1
178 6	mesecons_solarpanel:solar_panel_inverted_on 1
178 7	mesecons_solarpanel:solar_panel_inverted_on 1
178 8	mesecons_solarpanel:solar_panel_inverted_on 1
178 9	mesecons_solarpanel:solar_panel_inverted_on 1
178 10	mesecons_solarpanel:solar_panel_inverted_on 1
178 11	mesecons_solarpanel:solar_panel_inverted_on 1
178 12	mesecons_solarpanel:solar_panel_inverted_on 1
178 13	mesecons_solarpanel:solar_panel_inverted_on 1
178 14	mesecons_solarpanel:solar_panel_inverted_on 1
178 15	mesecons_solarpanel:solar_panel_inverted_on 1

179 0	mcl_core:redsandstone
179 1	mcl_core:redsandstonecarved
179 2	mcl_core:redsandstonesmooth

180 0	mcl_stairs:stair_redsandstone 1
180 1	mcl_stairs:stair_redsandstone 3
180 2	mcl_stairs:stair_redsandstone 2
180 3	mcl_stairs:stair_redsandstone 0
180 4	mcl_stairs:stair_redsandstone 23
180 5	mcl_stairs:stair_redsandstone 21
180 6	mcl_stairs:stair_redsandstone 22
180 7	mcl_stairs:stair_redsandstone 20

181	mcl_core:redsandstone

182 8	mcl_stairs:slab_redsandstone_top 22
182 0	mcl_stairs:slab_redsandstone


183 0	mcl_fences:spruce_fence_gate 2
183 1	mcl_fences:spruce_fence_gate 3
183 2	mcl_fences:spruce_fence_gate 0
183 3	mcl_fences:spruce_fence_gate 1
183 4	mcl_fences:spruce_fence_gate_open 2
183 5	mcl_fences:spruce_fence_gate_open 3
183 6	mcl_fences:spruce_fence_gate_open 0
183 7	mcl_fences:spruce_fence_gate_open 1

184 0	mcl_fences:birch_fence_gate 2
184 1	mcl_fences:birch_fence_gate 3
184 2	mcl_fences:birch_fence_gate 0
184 3	mcl_fences:birch_fence_gate 1
184 4	mcl_fences:birch_fence_gate_open 2
184 5	mcl_fences:birch_fence_gate_open 3
184 6	mcl_fences:birch_fence_gate_open 0
184 7	mcl_fences:birch_fence_gate_open 1

185 0	mcl_fences:jungle_fence_gate 2
185 1	mcl_fences:jungle_fence_gate 3
185 2	mcl_fences:jungle_fence_gate 0
185 3	mcl_fences:jungle_fence_gate 1
185 4	mcl_fences:jungle_fence_gate_open 2
185 5	mcl_fences:jungle_fence_gate_open 3
185 6	mcl_fences:jungle_fence_gate_open 0
185 7	mcl_fences:jungle_fence_gate_open 1

186 0	mcl_fences:dark_oak_fence_gate 2
186 1	mcl_fences:dark_oak_fence_gate 3
186 2	mcl_fences:dark_oak_fence_gate 0
186 3	mcl_fences:dark_oak_fence_gate 1
186 4	mcl_fences:dark_oak_fence_gate_open 2
186 5	mcl_fences:dark_oak_fence_gate_open 3
186 6	mcl_fences:dark_oak_fence_gate_open 0
186 7	mcl_fences:dark_oak_fence_gate_open 1

187 0	mcl_fences:acacia_fence_gate 2
187 1	mcl_fences:acacia_fence_gate 3
187 2	mcl_fences:acacia_fence_gate 0
187 3	mcl_fences:acacia_fence_gate 1
187 4	mcl_fences:acacia_fence_gate_open 2
187 5	mcl_fences:acacia_fence_gate_open 3
187 6	mcl_fences:acacia_fence_gate_open 0
187 7	mcl_fences:acacia_fence_gate_open 1


188	mcl_fences:spruce_fence
189	mcl_fences:birch_fence
190	mcl_fences:jungle_fence
191	mcl_fences:dark_oak_fence
192	mcl_fences:acacia_fence

193	air					// door parts get fixed up in code
194	air					// door parts get fixed up in code
195	air					// door parts get fixed up in code
196	air					// door parts get fixed up in code
197	air					// door parts get fixed up in code

198 0	mcl_end:end_rod 20  //Vector Down
198 1	mcl_end:end_rod	0   //Vector Up
198 2	mcl_end:end_rod 4   //Vector North
198 3	mcl_end:end_rod 8   //Vector South
198 4	mcl_end:end_rod 16  //Vector West
198 5	mcl_end:end_rod 12  //Vector East

199 0	mcl_end:chorus_plant
200 0	mcl_end:chorus_flower
200 1	mcl_end:chorus_flower
200 2	mcl_end:chorus_flower
200 3	mcl_end:chorus_flower
200 4	mcl_end:chorus_flower
200 5	mcl_end:chorus_flower_dead
201 0	mcl_end:purpur_block
202 0	mcl_end:purpur_pillar
//Pillar on its side N,E,S,W - seem to be hidden values. As MC uses blockstates.
202 4	mcl_end:purpur_pillar 12
202 8	mcl_end:purpur_pillar 6

203 0	mcl_stairs:stair_purpur_block 1
203 1	mcl_stairs:stair_purpur_block 3
203 2	mcl_stairs:stair_purpur_block 2
203 3	mcl_stairs:stair_purpur_block 0
203 4	mcl_stairs:stair_purpur_block 23
203 5	mcl_stairs:stair_purpur_block 21
203 6	mcl_stairs:stair_purpur_block 22
203 7	mcl_stairs:stair_purpur_block 20

204 0	mcl_end:purpur_block
205 0	mcl_stairs:slab_purpur_block
205 8	mcl_stairs:slab_purpur_block_top 22
206 0	mcl_end:end_bricks
207 0	mcl_farming:beetroot_0
207 1	mcl_farming:beetroot_1
207 2	mcl_farming:beetroot_2
207 3	mcl_farming:beetroot
208 0	mcl_core:grass_path

//209 end gateway
//210 repeating command block
//211 0,5 chain command block


212 0	mcl_core:frosted_ice_0
212 1	mcl_core:frosted_ice_1
212 2	mcl_core:frosted_ice_2
212 3	mcl_core:frosted_ice_3

213 0	mcl_nether:magma
214 0	mcl_nether:nether_wart_block
215 0	mcl_nether:red_nether_brick

//block state data
216 0	mcl_core:bone_block
216 4	mcl_core:bone_block 12
216 8	mcl_core:bone_block 6



218 0	mcl_observers:observer_down_off
218 1	mcl_observers:observer_up_off
218 2	mcl_observers:observer_off 0
218 3	mcl_observers:observer_off 2
218 4	mcl_observers:observer_off 3
218 5	mcl_observers:observer_off 1

219 1	mcl_chests:white_shulker_box
220 1	mcl_chests:orange_shulker_box
221 1	mcl_chests:magenta_shulker_box
222 1	mcl_chests:lightblue_shulker_box
223 1	mcl_chests:yellow_shulker_box
224 1	mcl_chests:green_shulker_box
225 1	mcl_chests:pink_shulker_box
226 1	mcl_chests:dark_grey_shulker_box
227 1	mcl_chests:grey_shulker_box
228 1	mcl_chests:cyan_shulker_box
229 1	mcl_chests:violet_shulker_box
230 1	mcl_chests:blue_shulker_box
231 1	mcl_chests:brown_shulker_box
232 1	mcl_chests:dark_green_shulker_box
233 1	mcl_chests:red_shulker_box
234 1	mcl_chests:black_shulker_box



235 0	mcl_colorblocks:glazed_terracotta_white 0
236 0	mcl_colorblocks:glazed_terracotta_orange 0
237 0	mcl_colorblocks:glazed_terracotta_magenta 0
238 0	mcl_colorblocks:glazed_terracotta_light_blue 0
239 0	mcl_colorblocks:glazed_terracotta_yellow 0
240 0	mcl_colorblocks:glazed_terracotta_lime 0
241 0	mcl_colorblocks:glazed_terracotta_pink 0
242 0	mcl_colorblocks:glazed_terracotta_grey 0
243 0	mcl_colorblocks:glazed_terracotta_silver 0
244 0	mcl_colorblocks:glazed_terracotta_cyan 0
245 0	mcl_colorblocks:glazed_terracotta_purple 0
246 0	mcl_colorblocks:glazed_terracotta_blue 0
247 0	mcl_colorblocks:glazed_terracotta_brown 0
248 0	mcl_colorblocks:glazed_terracotta_green 0
249 0	mcl_colorblocks:glazed_terracotta_red 0
250 0	mcl_colorblocks:glazed_terracotta_black 0
235 1	mcl_colorblocks:glazed_terracotta_white 1
236 1	mcl_colorblocks:glazed_terracotta_orange 1
237 1	mcl_colorblocks:glazed_terracotta_magenta 1
238 1	mcl_colorblocks:glazed_terracotta_light_blue 1
239 1	mcl_colorblocks:glazed_terracotta_yellow 1
240 1	mcl_colorblocks:glazed_terracotta_lime 1
241 1	mcl_colorblocks:glazed_terracotta_pink 1
242 1	mcl_colorblocks:glazed_terracotta_grey 1
243 1	mcl_colorblocks:glazed_terracotta_silver 1
244 1	mcl_colorblocks:glazed_terracotta_cyan 1
245 1	mcl_colorblocks:glazed_terracotta_purple 1
246 1	mcl_colorblocks:glazed_terracotta_blue 1
247 1	mcl_colorblocks:glazed_terracotta_brown 1
248 1	mcl_colorblocks:glazed_terracotta_green 1
249 1	mcl_colorblocks:glazed_terracotta_red 1
250 1	mcl_colorblocks:glazed_terracotta_black 1
235 2	mcl_colorblocks:glazed_terracotta_white 5
236 2	mcl_colorblocks:glazed_terracotta_orange 5
237 2	mcl_colorblocks:glazed_terracotta_magenta 5
238 2	mcl_colorblocks:glazed_terracotta_light_blue 5
239 2	mcl_colorblocks:glazed_terracotta_yellow 5
240 2	mcl_colorblocks:glazed_terracotta_lime 5
241 2	mcl_colorblocks:glazed_terracotta_pink 5
242 2	mcl_colorblocks:glazed_terracotta_grey 5
243 2	mcl_colorblocks:glazed_terracotta_silver 5
244 2	mcl_colorblocks:glazed_terracotta_cyan 5
245 2	mcl_colorblocks:glazed_terracotta_purple 5
246 2	mcl_colorblocks:glazed_terracotta_blue 5
247 2	mcl_colorblocks:glazed_terracotta_brown 5
248 2	mcl_colorblocks:glazed_terracotta_green 5
249 2	mcl_colorblocks:glazed_terracotta_red 5
250 2	mcl_colorblocks:glazed_terracotta_black 5
235 3	mcl_colorblocks:glazed_terracotta_white 3
236 3	mcl_colorblocks:glazed_terracotta_orange 3
237 3	mcl_colorblocks:glazed_terracotta_magenta 3
238 3	mcl_colorblocks:glazed_terracotta_light_blue 3
239 3	mcl_colorblocks:glazed_terracotta_yellow 3
240 3	mcl_colorblocks:glazed_terracotta_lime 3
241 3	mcl_colorblocks:glazed_terracotta_pink 3
242 3	mcl_colorblocks:glazed_terracotta_grey 3
243 3	mcl_colorblocks:glazed_terracotta_silver 3
244 3	mcl_colorblocks:glazed_terracotta_cyan 3
245 3	mcl_colorblocks:glazed_terracotta_purple 3
246 3	mcl_colorblocks:glazed_terracotta_blue 3
247 3	mcl_colorblocks:glazed_terracotta_brown 3
248 3	mcl_colorblocks:glazed_terracotta_green 3
249 3	mcl_colorblocks:glazed_terracotta_red 3
250 3	mcl_colorblocks:glazed_terracotta_black 3


251 0	mcl_colorblocks:concrete_white
251 1	mcl_colorblocks:concrete_orange
251 2	mcl_colorblocks:concrete_magenta
251 3	mcl_colorblocks:concrete_light_blue
251 4	mcl_colorblocks:concrete_yellow
251 5	mcl_colorblocks:concrete_lime
251 6	mcl_colorblocks:concrete_pink
251 7	mcl_colorblocks:concrete_grey
251 8	mcl_colorblocks:concrete_silver
251 9	mcl_colorblocks:concrete_cyan
251 10	mcl_colorblocks:concrete_purple
251 11	mcl_colorblocks:concrete_blue
251 12	mcl_colorblocks:concrete_brown
251 13	mcl_colorblocks:concrete_green
251 14	mcl_colorblocks:concrete_red
251 15	mcl_colorblocks:concrete_black

252 0	mcl_colorblocks:concrete_powder_white
252 1	mcl_colorblocks:concrete_powder_orange
252 2	mcl_colorblocks:concrete_powder_magenta
252 3	mcl_colorblocks:concrete_powder_light_blue
252 4	mcl_colorblocks:concrete_powder_yellow
252 5	mcl_colorblocks:concrete_powder_lime
252 6	mcl_colorblocks:concrete_powder_pink
252 7	mcl_colorblocks:concrete_powder_grey
252 8	mcl_colorblocks:concrete_powder_silver
252 9	mcl_colorblocks:concrete_powder_cyan
252 10	mcl_colorblocks:concrete_powder_purple
252 11	mcl_colorblocks:concrete_powder_blue
252 12	mcl_colorblocks:concrete_powder_brown
252 13	mcl_colorblocks:concrete_powder_green
252 14	mcl_colorblocks:concrete_powder_red
252 15	mcl_colorblocks:concrete_powder_black


324 0,4	mcl_doors:wooden_door_b_1 2
324 1,5	mcl_doors:wooden_door_b_1 3
324 2,6	mcl_doors:wooden_door_b_1 0
324 3,7	mcl_doors:wooden_door_b_1 1
324 8	mcl_doors:wooden_door_t_1
324 9	mcl_doors:wooden_door_t_1
324 10	mcl_doors:wooden_door_t_1
324 11	mcl_doors:wooden_door_t_1

// Below here are non-MC blocks. We need to put these blocks in the
// table to make translation a bit easier

// random pick for 31:1 grass
931 0	mcl_flowers:tallgrass				// the 8+ entries are used
931 1	mcl_flowers:tallgrass				// internally to vary grass
931 2	mcl_flowers:tallgrass				// height randomly
931 3	mcl_flowers:tallgrass
931 4	mcl_flowers:tallgrass

// flower pot plants
940 0	mcl_flowerpots:flower_pot
940 1	mcl_flowerpots:flower_pot_mushroom_brown
940 2	mcl_flowerpots:flower_pot_mushroom_red
940 3	mcl_flowerpots:flower_pot_cactus
940 4	mcl_flowerpots:flower_pot_deadbush
940 5	mcl_flowerpots:flower_pot_poppy 
940 6	mcl_flowerpots:flower_pot_blue_orchid 
940 7	mcl_flowerpots:flower_pot_allium 
940 8	mcl_flowerpots:flower_pot_azure_bluet
940 9	mcl_flowerpots:flower_pot_tulip_red
940 10	mcl_flowerpots:flower_pot_tulip_orange
940 11	mcl_flowerpots:flower_pot_tulip_white
940 12	mcl_flowerpots:flower_pot_tulip_pink
940 13	mcl_flowerpots:flower_pot_oxeye_daisy
940 14	mcl_flowerpots:flower_pot_sapling
940 15	mcl_flowerpots:flower_pot_sprucesapling

// overflow
941 0	mcl_flowerpots:flower_pot_birchsapling

941 1	mcl_flowerpots:flower_pot_junglesapling
941 2	mcl_flowerpots:flower_pot_acaciasapling
941 3	mcl_flowerpots:flower_pot_sapling
941 4	mcl_flowerpots:flower_pot_fern
941 5	mcl_flowerpots:flower_pot_dandelion

964 0	mcl_doors:wooden_door_b_1 1
964 1	mcl_doors:wooden_door_b_1 2
964 2	mcl_doors:wooden_door_b_1 3
964 3	mcl_doors:wooden_door_b_1 0
964 4	mcl_doors:wooden_door_b_2 2
964 5	mcl_doors:wooden_door_b_2 3
964 6	mcl_doors:wooden_door_b_2 0
964 7	mcl_doors:wooden_door_b_2 1
964 8	mcl_doors:wooden_door_b_2 1
964 9	mcl_doors:wooden_door_b_2 2
964 10	mcl_doors:wooden_door_b_2 3
964 11	mcl_doors:wooden_door_b_2 0
964 12	mcl_doors:wooden_door_b_1 0
964 13	mcl_doors:wooden_door_b_1 1
964 14	mcl_doors:wooden_door_b_1 2
964 15	mcl_doors:wooden_door_b_1 3

965 0	mcl_doors:wooden_door_t_1 1
965 1	mcl_doors:wooden_door_t_1 2
965 2	mcl_doors:wooden_door_t_1 3
965 3	mcl_doors:wooden_door_t_1 0
965 4	mcl_doors:wooden_door_t_2 2
965 5	mcl_doors:wooden_door_t_2 3
965 6	mcl_doors:wooden_door_t_2 0
965 7	mcl_doors:wooden_door_t_2 1
965 8	mcl_doors:wooden_door_t_2 1
965 9	mcl_doors:wooden_door_t_2 2
965 10	mcl_doors:wooden_door_t_2 3
965 11	mcl_doors:wooden_door_t_2 0
965 12	mcl_doors:wooden_door_t_1 0
965 13	mcl_doors:wooden_door_t_1 1
965 14	mcl_doors:wooden_door_t_1 2
965 15	mcl_doors:wooden_door_t_1 3

966 0	mcl_doors:iron_door_b_1 1
966 1	mcl_doors:iron_door_b_1 2
966 2	mcl_doors:iron_door_b_1 3
966 3	mcl_doors:iron_door_b_1 0
966 4	mcl_doors:iron_door_b_2 3
966 5	mcl_doors:iron_door_b_2 3
966 6	mcl_doors:iron_door_b_2 0
966 7	mcl_doors:iron_door_b_2 1
966 8	mcl_doors:iron_door_b_2 1
966 9	mcl_doors:iron_door_b_2 2
966 10	mcl_doors:iron_door_b_2 3
966 11	mcl_doors:iron_door_b_2 0
966 12	mcl_doors:iron_door_b_1 0
966 13	mcl_doors:iron_door_b_1 1
966 14	mcl_doors:iron_door_b_1 2
966 15	mcl_doors:iron_door_b_1 3

967 0	mcl_doors:iron_door_t_1 1
967 1	mcl_doors:iron_door_t_1 2
967 2	mcl_doors:iron_door_t_1 3
967 3	mcl_doors:iron_door_t_1 0
967 4	mcl_doors:iron_door_t_2 3
967 5	mcl_doors:iron_door_t_2 3
967 6	mcl_doors:iron_door_t_2 0
967 7	mcl_doors:iron_door_t_2 1
967 8	mcl_doors:iron_door_t_2 1
967 9	mcl_doors:iron_door_t_2 3
967 10	mcl_doors:iron_door_t_2 3
967 11	mcl_doors:iron_door_t_2 0
967 12	mcl_doors:iron_door_t_1 0
967 13	mcl_doors:iron_door_t_1 1
967 14	mcl_doors:iron_door_t_1 2
967 15	mcl_doors:iron_door_t_1 3



968 0	mcl_doors:spruce_door_b_1 1
968 1	mcl_doors:spruce_door_b_1 2
968 2	mcl_doors:spruce_door_b_1 3
968 3	mcl_doors:spruce_door_b_1 0
968 4	mcl_doors:spruce_door_b_2 2
968 5	mcl_doors:spruce_door_b_2 3
968 6	mcl_doors:spruce_door_b_2 0
968 7	mcl_doors:spruce_door_b_2 1
968 8	mcl_doors:spruce_door_b_2 1
968 9	mcl_doors:spruce_door_b_2 2
968 10	mcl_doors:spruce_door_b_2 3
968 11	mcl_doors:spruce_door_b_2 0
968 12	mcl_doors:spruce_door_b_1 0
968 13	mcl_doors:spruce_door_b_1 1
968 14	mcl_doors:spruce_door_b_1 2
968 15	mcl_doors:spruce_door_b_1 3

969 0	mcl_doors:spruce_door_t_1 1
969 1	mcl_doors:spruce_door_t_1 2
969 2	mcl_doors:spruce_door_t_1 3
969 3	mcl_doors:spruce_door_t_1 0
969 4	mcl_doors:spruce_door_t_2 2
969 5	mcl_doors:spruce_door_t_2 3
969 6	mcl_doors:spruce_door_t_2 0
969 7	mcl_doors:spruce_door_t_2 1
969 8	mcl_doors:spruce_door_t_2 1
969 9	mcl_doors:spruce_door_t_2 2
969 10	mcl_doors:spruce_door_t_2 3
969 11	mcl_doors:spruce_door_t_2 0
969 12	mcl_doors:spruce_door_t_1 0
969 13	mcl_doors:spruce_door_t_1 1
969 14	mcl_doors:spruce_door_t_1 2
969 15	mcl_doors:spruce_door_t_1 3



970 0	mcl_doors:birch_door_b_1 1
970 1	mcl_doors:birch_door_b_1 2
970 2	mcl_doors:birch_door_b_1 3
970 3	mcl_doors:birch_door_b_1 0
970 4	mcl_doors:birch_door_b_2 2
970 5	mcl_doors:birch_door_b_2 3
970 6	mcl_doors:birch_door_b_2 0
970 7	mcl_doors:birch_door_b_2 1
970 8	mcl_doors:birch_door_b_2 1
970 9	mcl_doors:birch_door_b_2 2
970 10	mcl_doors:birch_door_b_2 3
970 11	mcl_doors:birch_door_b_2 0
970 12	mcl_doors:birch_door_b_1 0
970 13	mcl_doors:birch_door_b_1 1
970 14	mcl_doors:birch_door_b_1 2
970 15	mcl_doors:birch_door_b_1 3

971 0	mcl_doors:birch_door_t_1 1
971 1	mcl_doors:birch_door_t_1 2
971 2	mcl_doors:birch_door_t_1 3
971 3	mcl_doors:birch_door_t_1 0
971 4	mcl_doors:birch_door_t_2 2
971 5	mcl_doors:birch_door_t_2 3
971 6	mcl_doors:birch_door_t_2 0
